,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
141,"TikTok
3.6","Tech Lead Manager, Ads Machine Learning Data Platform","Mountain View, CA",,Unknown / Non-Applicable,10000+ Employees,Company - Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable
142,"Discord
3.9",Senior Software Engineer - Safety Machine Learning,"San Francisco, CA",#N/A,$25 to $50 million (USD),501 to 1000 Employees,Company - Private,Information Technology,Internet & Web Services,2015,$25 to $50 million (USD)
143,"A9.com, Inc.
3.8",Applied Scientist II - AMZ6380347,"Palo Alto, CA",,$10+ billion (USD),10000+ Employees,Company - Public,Information Technology,Internet & Web Services,1994,$10+ billion (USD)
144,"University of California San Francisco
4.1",Social Science Data Analyst I,"San Francisco, CA","This position supports the work of two linked organizations - the California Labor Laboratory (Labor Lab) at the Institute for Health Policy Studies, and the Interdisciplinary Center for Healthy Workplaces (ICHW) at UC Berkeley School of Public Health - that operate jointly to organize current knowledge of how work affects health and well-being, disseminate that information, and then design and implement interventions to improve worker well-being. The Analyst will assist with analytical studies on a variety of issues in support of ICHW and the Labor Lab. The incumbent will assist project managers in organizing meetings and conferences, coordinating collaborative efforts, performing basic administrative tasks, and facilitating communication between diverse stakeholder groups.

Under the guidance of the Director, will support the work of ICHW’s Science to Practice conference series, which involves organizing meetings, organizing the conferences, and communicating with campus, vendors, and speakers. For the Labor Lab, assists in the preparation and documentation of the Scoping Review, assists the project investigators in parsing the qualitative data and in helping to prepare survey data for survey analysis. Will help coordinate meetings, mailings, and other Center activities. In addition, the incumbent will learn to use professional concepts to evaluate markets, will maintain and build the Centers' networks of professional and academic affiliates, and will develop knowledge of occupational health and well-being. Remote work consideration.

This position is a 1-Year Contract with full benefits: Medical, Dental, Vision, and including eligibility for 401K and Pension.
Department Description
The Philip R. Lee Institute for Health Policy Studies (PRL-IHPS) is an organized research unit within the School of Medicine (SOM). The primary purposes of the Institute are to advance knowledge of health services and health policies through basic and applied research; to contribute to the solution of health and social problems through the application of research findings to health policy issues at the national, state, and local levels.
Required Qualifications
Bachelor's degree in related area and / or equivalent experience / training.
Acquiring knowledge of research function. Acquiring ability to perform research analysis duties.
Acquiring data management and statistical analysis skills to perform research analysis duties.
Acquiring skills to analyze information and learn to synthesize large amounts of data with strong attention to detail.
Solid communication and interpersonal skills to communicate effectively with all levels of staff, both verbally and in writing.
Ability to effectively manage time and see assigned parts of projects through to completion on deadline.
Ability to learn campus-specific and other computer application programs.
Acquiring skills to organize and manage events and meetings on and around campus, and to coordinate with various vendors or contractors.
Ability to use discretion, maintain confidentiality, and use sound judgement in responding to issues and concerns.
Preferred Qualifications
N/A
About UCSF
The University of California, San Francisco (UCSF) is a leading university dedicated to promoting health worldwide through advanced biomedical research, graduate-level education in the life sciences and health professions, and excellence in patient care. It is the only campus in the 10-campus UC system dedicated exclusively to the health sciences. We bring together the world’s leading experts in nearly every area of health. We are home to five Nobel laureates who have advanced the understanding of cancer, neurodegenerative diseases, aging and stem cells.
Pride Values
UCSF is a diverse community made of people with many skills and talents. We seek candidates whose work experience or community service has prepared them to contribute to our commitment to professionalism, respect, integrity, diversity and excellence – also known as our PRIDE values.

In addition to our PRIDE values, UCSF is committed to equity – both in how we deliver care as well as our workforce. We are committed to building a broadly diverse community, nurturing a culture that is welcoming and supportive, and engaging diverse ideas for the provision of culturally competent education, discovery, and patient care. Additional information about UCSF is available at diversity.ucsf.edu

Join us to find a rewarding career contributing to improving healthcare worldwide.
Equal Employment Opportunity
The University of California San Francisco is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, protected veteran or disabled status, or genetic information.
Organization
Campus
Job Code and Payroll Title
006255 RSCH DATA ANL 1
Job Category
Research and Scientific
Bargaining Unit
99 - Policy-Covered (No Bargaining Unit)
Employee Class
Contract
Percentage
100%
Location
Mission Bay (SF)
Shift
Days
Shift Length
8 Hours
Additional Shift Details
Flexible, mainly M-F 8:30-5",$25 to $50 million (USD),10000+ Employees,College / University,Education,Colleges & Universities,1864,$25 to $50 million (USD)
145,"ByteDance
4.1","Data Scientist - Tiktok Ads, Growth Marketing","Mountain View, CA",,Unknown / Non-Applicable,10000+ Employees,Company - Private,Information Technology,Internet & Web Services,2012,Unknown / Non-Applicable
146,"CALICO
4.0","Senior Scientist, Imaging (Clinical Data)","South San Francisco, CA","Calico (Calico Life Sciences LLC) is an Alphabet-founded research and development company whose mission is to harness advanced technologies and model systems to increase our understanding of the biology that controls human aging. Calico will use that knowledge to devise interventions that enable people to lead longer and healthier lives. Calico’s highly innovative technology labs, its commitment to curiosity-driven discovery science and, with academic and industry partners, its vibrant drug-development pipeline, together create an inspiring and exciting place to catalyze and enable medical breakthroughs.",Unknown / Non-Applicable,201 to 500 Employees,Company - Private,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2013,Unknown / Non-Applicable
147,"Braintrust
4.6",Sr Data Analyst (SQL/PowerBI),"San Francisco, CA",LOCATION: Remote - United States and Canada only (TimeZone: CST | Full day overlap),$5 to $25 million (USD),Unknown,Company - Private,Management & Consulting,Business Consulting,2018,$5 to $25 million (USD)
148,"CloudTrucks
4.0",Senior Data Scientist,"San Francisco, CA",,Unknown / Non-Applicable,51 to 200 Employees,Company - Private,Transportation & Logistics,Shipping & Trucking,2019,Unknown / Non-Applicable
149,"Everlaw
4.6",Data Scientist,"Oakland, CA",,Unknown / Non-Applicable,201 to 500 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2010,Unknown / Non-Applicable
150,"Apple
4.2",Senior Deep Learning Compiler Engineer,"Cupertino, CA","Posted: Oct 17, 2022
Role Number:200436475
We live in a mobile and device driven world, where Deep Learning technology enables a new class of applications. Are you passionate about enabling unique user experience such as Face ID, Animoji, AR games? Imagine the countless possibilities powered by Artificial Intelligence. In the Video Engineering team, we are dedicated in providing hardware acceleration using the new proprietary Apple Neural Engine SOC to enable real time, low power and high performance execution of Deep Learning workloads. Our success is the result of very talented people working in an environment which cultivates creativity, partnership and cross functional collaboration. These elements come together to make Apple an amazing environment for motivated people to do the greatest work of their lives. Will you help us design the next generation of revolutionary Apple Products?",$10+ billion (USD),10000+ Employees,Company - Public,Information Technology,Computer Hardware Development,1976,$10+ billion (USD)
151,"Wayfair
3.3","Machine Learning Scientist, Personalization","Mountain View, CA","Wayfair Science powers automation and decision support across all Wayfair business units. Our algorithms tackle a varied and broad spectrum of challenges in the Wayfair marketplace; from empowering suppliers to easily add products to our catalog, to enabling our customers to discover and purchase a vast and diverse assortment of home goods.",$5 to $10 billion (USD),10000+ Employees,Company - Public,Retail & Wholesale,Home Furniture & Housewares Stores,2002,$5 to $10 billion (USD)
152,"Atlassian
4.7","Principal Data Scientist, Customer Analytics","Mountain View, CA","Working at Atlassian

Atlassian can hire people in any country where we have a legal entity. Assuming you have eligible working rights and a sufficient time zone overlap with your team, you can choose to work remotely or return to an office as they reopen (unless it’s necessary for your role to be performed in the office). Interviews and onboarding are conducted virtually, a part of being a distributed-first company.

Your future team
The Customer Analytics team at Atlassian delivers insights about our customers throughout their lifecycle with Atlassian. We define and maintain a customer health score, provide insights on customer engagement, build and deploy models to predict potential churn and expansion. We design analytical frameworks to understand different parts of the customer journey, help customers get more value from our product suite and develop insights on the multi-year effort to transition server customers to Cloud. This team partners with other analytics teams and plays a huge role in important programs improving the business. We are a collaborative team with a high bar for analytical rigor, and we love to have fun along the way. We are looking for a top-tier data scientist to be an important contributor to the customer analytics team.
What you'll do
You will help build customer profiles and deliver meaningful insights to improve the efficacy of go-to-market (GTM) and Product programs
You will partner with Atlassian's Enterprise Growth, Product Analytics and Customer Success teams to improve Onboarding, Adoption, Expansion and Retention across our product portfolio
Involved in identifying positive and negative triggers related to product usage and workflows, coming up with data-driven recommendations for programs, defining evaluation metrics, designing experiments, analyzing results to understand the efficacy of the projects and building interactive dashboards to track and understand progress
Be a partner to the Enterprise Growth and CSI team and work with the broader Analytics organization to deliver customer insights
You will mentor senior data scientists and independently guide work with product managers
Your background
9+ years of experience in analytics or related fields
Understand and analyzing digital campaigns at scale - Pre-Post Analysis, A/B testing
Expertise in SQL and proficiency in another data programming language (Python, R)
Create raw data and analysis into well-written content
Experience designing and analyzing experiments that impact product decisions
Passionate about customer experience, and customer analytics as a craft
Share analyses and recommendations to non-technical audiences
Understanding of machine learning techniques such as Regression, Clustering, Decision Trees, Gradient Boosting Machines

Our perks & benefits

To support you at work and play, our perks and benefits include ample time off, an annual education budget, paid volunteer days, and so much more.

About Atlassian

The world’s best teams work better together with Atlassian. From medicine and space travel, to disaster response and pizza deliveries, Atlassian software products help teams all over the planet. At Atlassian, we're motivated by a common goal: to unleash the potential of every team.

We believe that the unique contributions of all Atlassians create our success. To ensure that our products and culture continue to incorporate everyone's perspectives and experience, we never discriminate based on race, religion, national origin, gender identity or expression, sexual orientation, age, or marital, veteran, or disability status. All your information will be kept confidential according to EEO guidelines.

To learn more about our culture and hiring process, explore our Candidate Resource Hub.",Unknown / Non-Applicable,5001 to 10000 Employees,Company - Public,Information Technology,Software Development,2002,Unknown / Non-Applicable
153,"Uber
4.0",Senior Data Scientist - Platform Engineering,"San Francisco, CA","As a Senior Data Scientist in the Platform Engineering organization, you get to use your quantitative skill, obsession, and empathy towards customers, and collaborative spirit to work closely with Product Management, Engineering, and fellow Data Scientists to provide data-driven insights to find new opportunities to take our development experience to the next level.",$10+ billion (USD),10000+ Employees,Company - Public,Information Technology,Internet & Web Services,2009,$10+ billion (USD)
154,"CALICO
4.0","Senior Scientist, Imaging (Clinical Data)","South San Francisco, CA","Calico (Calico Life Sciences LLC) is an Alphabet-founded research and development company whose mission is to harness advanced technologies and model systems to increase our understanding of the biology that controls human aging. Calico will use that knowledge to devise interventions that enable people to lead longer and healthier lives. Calico’s highly innovative technology labs, its commitment to curiosity-driven discovery science and, with academic and industry partners, its vibrant drug-development pipeline, together create an inspiring and exciting place to catalyze and enable medical breakthroughs.",Unknown / Non-Applicable,201 to 500 Employees,Company - Private,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2013,Unknown / Non-Applicable
155,"Waymo
4.0","Software Engineer, Perception - Machine Learning Evaluation","Mountain View, CA","Software Engineering builds the brains of Waymo's fully autonomous driving technology. Our software allows the Waymo Driver to perceive the world around it, make the right decision for every situation, and deliver people safely to their destinations. We think deeply and solve complex technical challenges in areas like robotics, perception, decision-making and deep learning, while collaborating with hardware and systems engineers. If you’re a software engineer or researcher who’s curious and passionate about Level 4 autonomous driving, we'd like to meet you.",Unknown / Non-Applicable,Unknown,Company - Private,Information Technology,Computer Hardware Development,2009,Unknown / Non-Applicable
156,"Parafin
4.4","Data Scientist, Analytics","San Francisco, CA","At Parafin, our mission is to grow small businesses. Small businesses are the backbone of our economy, yet banks do not have their back. Parafin is a technology company that builds infrastructure which enables small businesses to get easy access to financial services via platforms they sell on.",Unknown / Non-Applicable,1 to 50 Employees,Company - Private,Finance,Financial Transaction Processing,2020,Unknown / Non-Applicable
157,"Snapchat
3.9","Engineering Data Scientist, Ad Ranking","Palo Alto, CA",Snapchat,Unknown / Non-Applicable,5001 to 10000 Employees,Company - Public,Information Technology,Computer Hardware Development,2011,Unknown / Non-Applicable
158,"Lawrence Berkeley National Laboratory
4.3",Data Management Research Scientist,"San Francisco, CA",,$500 million to $1 billion (USD),1001 to 5000 Employees,Government,Management & Consulting,Research & Development,1931,$500 million to $1 billion (USD)
159,"Braintrust
4.6",Sr Data Analyst (SQL/PowerBI),"San Francisco, CA",LOCATION: Remote - United States and Canada only (TimeZone: CST | Full day overlap),$5 to $25 million (USD),Unknown,Company - Private,Management & Consulting,Business Consulting,2018,$5 to $25 million (USD)
160,"TikTok
3.6","Tech Lead Manager, Ads Machine Learning Data Platform","Mountain View, CA",,Unknown / Non-Applicable,10000+ Employees,Company - Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable
161,"Novartis
4.0",Senior Expert - Data Science,"Emeryville, CA","20 million!
That’s the number of proprietary quantitative activity measurements available for data mining and modeling. As a member of our Computer-Aided Drug Discovery (CADD) team in Emeryville, you will be able to leverage that knowledgebase, plus the knowledgebase of proprietary structural and pharmacological target information, to discover transformative drug candidates.

If this sounds intriguing, read on!

At the Novartis Institutes for BioMedical Research (NIBR), we value your ideas, personal growth, and career aspirations. You will have opportunities to explore the power of cutting-edge science and technology (e.g., cryoEM, VR, high performance compute environment) in an environment that truly values multidisciplinary collaborations. We are a highly-regarded research group that values engagement in the wider scientific community. In order to tackle the world’s toughest medical challenges, you will be empowered to take smart risks in an unbossed way, using your creativity and resourcefulness.

We are seeking a unique computational scientist to complement our team, operating in an interdisciplinary and tightly integrated site with local and global responsibilities. As part of the Emeryville Protein Interactomics Center, we contribute to drug discovery and technology developments across all research sites, disease areas, and technology platforms. We are also a strong local partner to the Novartis Institutes for Tropical Diseases, contributing to a pipeline of medicines for major global health challenges. In all our endeavors, we build on NIBR’s vast knowledgebase and the partnership and expertise of over 5,000 scientists with a huge variety of expert skills and a strong dedication to innovation.

The role is based out of our Bay Area location (Emeryville), with a hybrid work model (office/home).

Your responsibilities include, but are not limited to:
Develop and apply innovative computational approaches to predict biological activity profiles of small molecules using machine learning and free energy approaches
Generate 3D structural understanding of the mechanism of action for novel ligands using advanced modeling and dynamics simulations in close collaboration with experimental scientists
Initiate drug discovery efforts by proposing novel targets / modalities and executing advanced in silico hit generation methodologies
Drive compound optimization cycles in multi-objective fashion to explore an expanding chemical universe with the aim to discover superior drug candidates
Engage and influence interdisciplinary project teams for effective decision-making from target identification through candidate nomination
Keep abreast of scientific developments and interact with internal and external scientists to integrate novel insights into computational approaches for drug discovery

EEO Statement
The Novartis Group of Companies are Equal Opportunity Employers and take pride in maintaining a diverse environment. We do not discriminate in recruitment, hiring, training, promotion or other employment practices for reasons of race, color, religion, gender, national origin, age, sexual orientation, gender identity or expression, marital or veteran status, disability, or any other legally protected status. We are committed to building diverse teams, representative of the patients and communities we serve, and we strive to create an inclusive workplace that cultivates bold innovation through collaboration and empowers our people to unleash their full potential.
Minimum requirements
What you’ll bring to the role:
PhD in computational chemistry, computational biology, computational chemical biology, or related field; candidates with an experimentalist background and strong computational experience are also encouraged to apply.
3+ years of work experience applying computational methods to drug discovery
Hands-on experience with proven impact in two or more of the following CADD approaches: QSAR/Machine-Learning, Virtual Screening & Triaging, Molecular Dynamics, Free Energy, Multi-Objective Optimization, Generative Chemistry
Working knowledge of medicinal chemistry, cheminformatics, and structure-based drug discovery and proven ability to collaborate with others
Strong presence in the scientific drug discovery community: peer-reviewed publications, presentations at well-recognized venues

Why consider Novartis?

We believe the answers are found when curious, courageous and collaborative people like you are brought together in an inspiring environment—where you’re given opportunities to explore the power of digital and data, and where you’re surrounded by people who share your determination to tackle the world’s toughest medical challenges.

We are Novartis. Join us and help us reimagine medicine.

Commitment to Diversity & Inclusion: Novartis is committed to building an outstanding, inclusive work environment and diverse teams, representative of the patients and communities we serve.

Accessibility and Reasonable Accommodations: Individuals in need of a reasonable accommodation due to a medical condition or disability for any part of the application process, or to perform the essential functions of a position, please send an e-mail to tas.nacomms@novartis.com or call +1 (877)395-2339 and let us know the nature of your request and your contact information. Please include the job requisition number in your message.

The pay range for this position at commencement of employment is expected to be between $124,00 - $186,000/ year; however, while salary ranges are effective from 1/1/22 through 12/31/22, fluctuations in the job market may necessitate adjustments to pay ranges during this period. Further, final pay determinations will depend on various factors, including, but not limited to geographical location, experience level, knowledge, skills and abilities. The total compensation package for this position may also include other elements, including a sign-on bonus, restricted stock units, and discretionary awards in addition to a full range of medical, financial, and/or other benefits (including 401(k) eligibility and various paid time off benefits, such as vacation, sick time, and parental leave), dependent on the position offered. Details of participation in these benefit plans will be provided if an employee receives an offer of employment. If hired, employee will be in an “at-will position” and the Company reserves the right to modify base salary (as well as any other discretionary payment or compensation program) at any time, including for reasons related to individual performance, Company or individual department/team performance, and market factors.

Join our Novartis Network: If this role is not suitable to your experience or career goals but you wish to stay connected to hear more about Novartis and our career opportunities, join the Novartis Network here: https://talentnetwork.novartis.com/network
Division
NIBR
Business Unit
Global Discovery Chemistry
Country
USA
Work Location
Emeryville, CA
Company/Legal Entity
NIBRI
Functional Area
Data Science
Job Type
Full Time
Employment Type
Regular
Shift Work
No
Early Talent
No",Unknown / Non-Applicable,Unknown,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
162,"Ford Motor Company
4.1",Research Scientist - Machine Learning for Computer Vision,"Palo Alto, CA","Ford’s Research and Advanced Engineering team explores new vehicle and societal innovations that require some level of invention before they can be applied to our products and services. The team is building on a history of Ford innovation, including our invention of the three-way catalytic converter to modernize vehicle emissions controls in the 1970s and the world’s first rear inflatable seat belts in 2010.",$10+ billion (USD),10000+ Employees,Company - Public,Manufacturing,Transportation Equipment Manufacturing,1903,$10+ billion (USD)
163,"City and County of San Francisco
3.6","Sr. Research, Evaluation, & Data Analyst (1823)","San Francisco, CA","Who We Are. Join our team and help the Department of Children, Youth and Their Families (DCYF) make San Francisco a great place to grow up!",Unknown / Non-Applicable,Unknown,Government,Government & Public Administration,Regional Agencies,#N/A,Unknown / Non-Applicable
164,"A9.com, Inc.
3.8",Applied Scientist II - AMZ6380347,"Palo Alto, CA",,$10+ billion (USD),10000+ Employees,Company - Public,Information Technology,Internet & Web Services,1994,$10+ billion (USD)
165,"CALICO
4.0",Senior/Principal Data Scientist,"South San Francisco, CA","Calico (Calico Life Sciences LLC) is an Alphabet-founded research and development company whose mission is to harness advanced technologies and model systems to increase our understanding of the biology that controls human aging. Calico will use that knowledge to devise interventions that enable people to lead longer and healthier lives. Calico’s highly innovative technology labs, its commitment to curiosity-driven discovery science and, with academic and industry partners, its vibrant drug-development pipeline, together create an inspiring and exciting place to catalyze and enable medical breakthroughs.",Unknown / Non-Applicable,201 to 500 Employees,Company - Private,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2013,Unknown / Non-Applicable
166,"Snowflake
4.3",Senior Engineering Manager - Machine Learning Platform,"San Mateo, CA","We are looking for an outstanding Senior Engineering Manager to join, build, and lead the newly-formed Machine Learning Platform team, which is at the core of Snowflake’s ML strategy. This platform will host machine learning for Snowflake, our Partners, and customers. This team combines strong infrastructure focus, building the right services, in the most simple-yet Snowflake-integrated- way possible. The skills on the team, therefore, combine ML systems, service infrastructure, and data infrastructure. We are looking for the right individual(s) who can help the team scale the organization across all those skills as Snowflake develops the foundation for the ML lifecycle.",$2 to $5 billion (USD),1001 to 5000 Employees,Company - Public,Information Technology,Enterprise Software & Network Solutions,2012,$2 to $5 billion (USD)
167,"Databricks
4.6",Engineering Manager - Machine Learning Platform,"San Francisco, CA","As an Engineering Manager in the Data Science Product group, you will help build the platform at the intersection of data science / machine learning and distributed systems. Our technology empowers the flagship collaborative workspace, notebooks, IDE integrations, and project management products. We also develop tools for managing the end-to-end machine learning lifecycle.",Unknown / Non-Applicable,1001 to 5000 Employees,Company - Private,Information Technology,Computer Hardware Development,2013,Unknown / Non-Applicable
168,Atomic AI,"Scientist, Machine Learning","South San Francisco, CA",Science,Unknown / Non-Applicable,1 to 50 Employees,Company - Private,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2021,Unknown / Non-Applicable
169,"Verkada
4.0",Senior Growth Data Scientist,"San Mateo, CA",,Unknown / Non-Applicable,1001 to 5000 Employees,Company - Private,Information Technology,Software Development,2016,Unknown / Non-Applicable
170,"Stanford University
4.3",Research Data Analyst,"Stanford, CA",,$10+ billion (USD),10000+ Employees,College / University,Education,Colleges & Universities,1891,$10+ billion (USD)
171,"Discord
3.9",Senior Software Engineer - Safety Machine Learning,"San Francisco, CA",#N/A,$25 to $50 million (USD),501 to 1000 Employees,Company - Private,Information Technology,Internet & Web Services,2015,$25 to $50 million (USD)
172,"SquareTrade
4.0",Data Analyst / Senior Data Analyst,"Brisbane, CA","SquareTrade is the fastest growing company of its kind. We’re revolutionizing a $30b industry with service innovation and attention to customer satisfaction. We partner with some of the largest, most sophisticated retailers and carriers in the world (Walmart, Target, Amazon, Costco, and T-Mobile to name a few), consistently win industry awards, have received tens of thousands of 5-star reviews… and we’re just getting started. A member of the Allstate family, SquareTrade has headquarters in San Francisco and London. We are currently expanding in Europe and Asia Pacific, including Japan and Australia.",$2 to $5 billion (USD),201 to 500 Employees,Company - Private,Insurance,Insurance Carriers,1999,$2 to $5 billion (USD)
173,"ByteDance
4.1","Data Scientist - Tiktok Ads, Growth Marketing","Mountain View, CA",,Unknown / Non-Applicable,10000+ Employees,Company - Private,Information Technology,Internet & Web Services,2012,Unknown / Non-Applicable
174,"Stanford Health Care
4.0",Senior Manager Data Engineering,"Palo Alto, CA",,$2 to $5 billion (USD),10000+ Employees,Hospital,Healthcare,Healthcare Services & Hospitals,1957,$2 to $5 billion (USD)
175,"ClassDojo
4.6",Senior Data Scientist/Product Analyst,"San Francisco, CA","We started by building a network that connects teachers, children, and families. ClassDojo's flagship app is the #1 communication app connecting K-8 teachers, children, and families, globally. They use it to share what's happening throughout the day through photos, videos, messages, and activities. It is actively used at an unprecedented scale: in over 95% of US schools, reaching ~51 million children in ~180 countries. We are now beginning to use this network to give kids the best learning experiences in the world, far beyond those a standard school can provide.",Unknown / Non-Applicable,51 to 200 Employees,Company - Private,Information Technology,Internet & Web Services,2011,Unknown / Non-Applicable
176,"Earnin
4.4",Data Scientist - Risk,"Palo Alto, CA","As one of the first pioneers of earned wage access, our passion at Earnin is building products that deliver real time financial flexibility for those with the unique needs of living paycheck to paycheck. Our community members access their earnings as they earn them, with options to spend, save, and grow their money without mandatory fees, interest rates, or credit checks. Since our founding, our app has been downloaded over 13M times and we have provided access to $10 billion in earnings.",Unknown / Non-Applicable,201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,2012,Unknown / Non-Applicable
177,"FHLBank San Francisco
2.9","Data Scientist & Risk Analytics, Assoc. Dir.","San Francisco, CA",,Unknown / Non-Applicable,Unknown,Company - Private,Finance,Banking & Lending,1932,Unknown / Non-Applicable
178,"FLYR Labs
4.4",Senior/ Staff Data Scientist,"San Francisco, CA",FLYR Labs is focused on the relentless application of advanced and intuitive technologies that help transportation leaders unlock their ultimate potential.,$25 to $50 million (USD),201 to 500 Employees,Company - Private,Information Technology,Internet & Web Services,2013,$25 to $50 million (USD)
179,"Moveworks.ai
4.2","Senior Data Scientist, Machine Learning","Mountain View, CA","In this two part blog “The future (of Employee Experience) is Converational” (Part 1 - Understanding the language barrier between people and machines, Part 2 - How machines learned the secrets of language, we discussed a vision for the future of employee experience using Conversational AI. Through the years, we have built a range of enterprise applications on the foundation of a robust conversation system powered by AI/NLP. Now we are seeking seasoned Data Scientists to help shape the future of conversational AI with data rigor.",Unknown / Non-Applicable,501 to 1000 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2016,Unknown / Non-Applicable
180,"TikTok
3.6","Data Scientist, University Graduate - 2023 Start (BS/MS)","Mountain View, CA",,Unknown / Non-Applicable,10000+ Employees,Company - Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable
181,"Verily
4.1","Data Scientist, Viral Genomics","South San Francisco, CA",,Unknown / Non-Applicable,1001 to 5000 Employees,Subsidiary or Business Segment,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2015,Unknown / Non-Applicable
182,"Uber
4.0",2023 University Graduate - Data Scientist,"San Francisco, CA","Uber’s Data Science teams use data to improve and automate all aspects of our core products, as we drive growth, retention, engagement, and affinity on the Uber platform. This includes providing insight into how pricing and surge is working and offering opportunities for improvement; understanding adoption and engagement with rides and recognizing opportunities for product evolution; crafting and analyzing experiments to understand the effects of matching changes and/or incentives on rider and driver behaviors, conversion and engagement; working with Engineering teams to ensure integrity of our platform, products and data.",$10+ billion (USD),10000+ Employees,Company - Public,Information Technology,Internet & Web Services,2009,$10+ billion (USD)
183,"TikTok
3.6","Machine Learning Engineer, University Graduate (TikTok-Data)- 2023 Start (BS/MS)","Mountain View, CA",,Unknown / Non-Applicable,10000+ Employees,Company - Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable
184,"Lyra Health
4.5",Data Scientist (Remote - U.S. only),"Burlingame, CA","Lyra is transforming mental health care through technology with a human touch to help people feel emotionally healthy at work and at home. We work with industry leaders, such as Morgan Stanley, Uber, Amgen, and other Fortune 500 companies, to improve access to effective, high-quality mental health care for their employees and their families. With our innovative digital care platform and global provider network, 10 million people can receive the best care and feel better, faster. Founded by David Ebersman, former CFO of Facebook and Genentech, Lyra has raised more than $900 million.",$100 to $500 million (USD),1001 to 5000 Employees,Company - Private,Healthcare,Healthcare Services & Hospitals,2015,$100 to $500 million (USD)
185,"Discord
3.9","Senior Data Scientist, Analytics","San Francisco, CA",#N/A,$25 to $50 million (USD),501 to 1000 Employees,Company - Private,Information Technology,Internet & Web Services,2015,$25 to $50 million (USD)
186,"Dolby
4.2",Sound Tech Deep Learning and Data Analyt,"San Francisco, CA","Join the leader in entertainment innovation and help us design the future. At Dolby, science meets art, and high tech means more than computer code. As a member of the Dolby team, you’ll see and hear the results of your work everywhere, from movie theaters to smartphones.",$2 to $5 billion (USD),1001 to 5000 Employees,Company - Public,Manufacturing,Electronics Manufacturing,1965,$2 to $5 billion (USD)
187,"TikTok
3.6","Data Scientist, University Graduate (Global E-commerce Risk Control)- 2023 Start (MS)","Mountain View, CA",,Unknown / Non-Applicable,10000+ Employees,Company - Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable
188,"Ancestry
3.7","Data Scientist, CV/NLP","San Francisco, CA","When you join Ancestry, you join a human-centered company where every person’s story is important. We believe that by discovering the struggles and triumphs of our past, we can foster deeper bonds and more meaningful connections among families and communities. Our talented team of scientists, engineers, genealogists, historians, and storytellers is dedicated to empowering customers around the world from all backgrounds on their journeys of personal discovery.",$2 to $5 billion (USD),1001 to 5000 Employees,Company - Private,Information Technology,Internet & Web Services,1985,$2 to $5 billion (USD)
189,"Notion
4.9","Data Scientist, Growth","San Francisco, CA","We're on a mission to make it possible for every person, team, and company to be able to tailor their software to solve any problem and take on any challenge. Computers may be our most powerful tools, but most of us can't build or modify the software we use on them every day. At Notion, we want to change this with focus, design, and craft.",Unknown / Non-Applicable,201 to 500 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2016,Unknown / Non-Applicable
190,"University of California Berkeley
4.3",Data Scientist / Research Software Engineer (6104U) - 46408,"Berkeley, CA",,Unknown / Non-Applicable,51 to 200 Employees,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
191,"Apple
4.2",Computer Vision Data Scientist,"Cupertino, CA","Posted: Nov 4, 2022
Role Number:200441916
Do you have a passion for computer vision and deep learning problems? The Video Engineering group is looking for a data scientist with a strong emphasis on deep system understanding through data analysis. In this role, you will collaborate with multiple teams (machine learning, quality assurance, cloud infrastructure support, user studies). We work on multiple, related projects requiring a bit of creativity and resourcefulness. You will be able to demonstrate your skills and expertise as we work together to innovate. We are an unusual team in how we operate, and we are looking for creative engineers, physicists, mathematicians, and anyone with room to grow to join us. We are unusual in the sense that our initial work was filling a gap between Face ID Algorithms, Quality Assurance, and User Studies, and we now continue to partner with other Video Engineering teams.",$10+ billion (USD),10000+ Employees,Company - Public,Information Technology,Computer Hardware Development,1976,$10+ billion (USD)
192,"Wayfair
3.3","Machine Learning Scientist, Personalization","Mountain View, CA","Wayfair Science powers automation and decision support across all Wayfair business units. Our algorithms tackle a varied and broad spectrum of challenges in the Wayfair marketplace; from empowering suppliers to easily add products to our catalog, to enabling our customers to discover and purchase a vast and diverse assortment of home goods.",$5 to $10 billion (USD),10000+ Employees,Company - Public,Retail & Wholesale,Home Furniture & Housewares Stores,2002,$5 to $10 billion (USD)
